date,sku,category,unit_price,units_sold,revenue
2025-01-31,Canvas Tote,Accessories,44.00,4,176.00
2025-01-31,Cotton Tee - Cream,Tops,28.00,6,168.00
2025-01-31,Floral Maxi Dress,Dresses,142.00,1,142.00
2025-01-31,Gold Hoop Earrings,Accessories,32.00,2,64.00
2025-01-31,High-Waist Jeans,Bottoms,118.00,1,118.00
2025-01-31,Leather Crossbody Bag,Accessories,134.00,3,402.00
2025-01-31,Linen Blouse - Black,Tops,58.00,1,58.00
2025-01-31,Linen Blouse - White,Tops,58.00,2,116.00
2025-01-31,Linen Shorts,Bottoms,52.00,5,260.00
2025-01-31,Midi Skirt - Floral,Bottoms,74.00,2,148.00
2025-01-31,Pearl Necklace,Accessories,78.00,1,78.00
2025-01-31,Silk Scarf,Accessories,38.00,2,76.00
2025-01-31,Strappy Sandals,Shoes,88.00,1,88.00
2025-01-31,White Sneakers,Shoes,128.00,2,256.00
2025-01-31,Wide-Brim Straw Hat,Accessories,48.00,4,192.00
2025-02-01,Canvas Tote,Accessories,44.00,6,264.00
2025-02-01,Cocktail Dress,Dresses,168.00,1,168.00
2025-02-01,Cotton Tee - Cream,Tops,28.00,6,168.00
2025-02-01,Floral Maxi Dress,Dresses,142.00,6,852.00
2025-02-01,Gold Hoop Earrings,Accessories,32.00,8,256.00
2025-02-01,High-Waist Jeans,Bottoms,118.00,5,590.00
2025-02-01,Leather Crossbody Bag,Accessories,134.00,2,268.00
2025-02-01,Leather Loafers - Black,Shoes,168.00,1,168.00
2025-02-01,Linen Blouse - Black,Tops,58.00,5,290.00
2025-02-01,Linen Blouse - White,Tops,58.00,2,116.00
2025-02-01,Linen Shorts,Bottoms,52.00,7,364.00
2025-02-01,Midi Skirt - Floral,Bottoms,74.00,3,222.00
2025-02-01,Pearl Necklace,Accessories,78.00,1,78.00
2025-02-01,Silk Camisole,Tops,72.00,1,72.00
2025-02-01,Silk Scarf,Accessories,38.00,3,114.00
2025-02-01,Slip Dress - Black,Dresses,124.00,5,620.00
2025-02-01,Strappy Sandals,Shoes,88.00,5,440.00
2025-02-01,Vintage Denim Jacket,Outerwear,145.00,2,290.00
2025-02-01,White Sneakers,Shoes,128.00,3,384.00
2025-02-01,Wide-Brim Straw Hat,Accessories,48.00,2,96.00
2025-02-01,Wide-Leg Trousers,Bottoms,98.00,1,98.00
2025-02-01,Wrap Sweater - Sage,Tops,96.00,1,96.00
2025-02-02,Canvas Tote,Accessories,44.00,7,308.00
2025-02-02,Cocktail Dress,Dresses,168.00,2,336.00
2025-02-02,Cotton Tee - Cream,Tops,28.00,7,196.00
2025-02-02,Floral Maxi Dress,Dresses,142.00,5,710.00
2025-02-02,Gold Hoop Earrings,Accessories,32.00,3,96.00
2025-02-02,High-Waist Jeans,Bottoms,118.00,4,472.00
2025-02-02,Leather Crossbody Bag,Accessories,134.00,2,268.00
2025-02-02,Linen Blouse - Black,Tops,58.00,2,116.00
2025-02-02,Linen Blouse - White,Tops,58.00,6,348.00
2025-02-02,Linen Shorts,Bottoms,52.00,2,104.00
2025-02-02,Midi Skirt - Floral,Bottoms,74.00,3,222.00
2025-02-02,Pearl Necklace,Accessories,78.00,1,78.00
2025-02-02,Silk Scarf,Accessories,38.00,3,114.00
2025-02-02,Slip Dress - Black,Dresses,124.00,3,372.00
2025-02-02,Strappy Sandals,Shoes,88.00,2,176.00
2025-02-02,Trench Coat,Outerwear,220.00,1,220.00
2025-02-02,Vintage Denim Jacket,Outerwear,145.00,1,145.00
2025-02-02,White Sneakers,Shoes,128.00,2,256.00
2025-02-02,Wide-Brim Straw Hat,Accessories,48.00,6,288.00
2025-02-02,Wide-Leg Trousers,Bottoms,98.00,1,98.00
2025-02-02,Wool Coat - Camel,Outerwear,285.00,1,285.00
2025-02-02,Wrap Sweater - Sage,Tops,96.00,1,96.00
2025-02-03,Canvas Tote,Accessories,44.00,2,88.00
2025-02-03,Cotton Tee - Cream,Tops,28.00,4,112.00
2025-02-03,Gold Hoop Earrings,Accessories,32.00,1,32.00
2025-02-03,Linen Blouse - White,Tops,58.00,1,58.00
2025-02-03,Linen Shorts,Bottoms,52.00,2,104.00
2025-02-03,Midi Skirt - Floral,Bottoms,74.00,1,74.00
